"member_casual","start_station_name","rides"
member,Kingsbury St & Kinzie St,29263
member,Clinton St & Washington Blvd,27506
member,Clinton St & Madison St,24675
member,Clark St & Elm St,24455
member,Wells St & Concord Ln,20527
member,Wells St & Elm St,20241
member,Clinton St & Jackson Blvd,20155
member,Dearborn St & Erie St,19187
member,Canal St & Madison St,18918
member,State St & Chicago Ave,18829
