"member_casual","total","with_start_station","with_end_station","percentage_with_start_station","percentage_with_end_station"
member,3654251,3013770,3038000,82.47298830868488,83.13605168336822
casual,2070797,1689357,1659700,81.58003898981889,80.1478850896539
